,label,content
56,half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.
57,barely-true,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements."
58,false,Sen. Obama's campaign announced that he's choosing his cabinet.
59,mostly-true,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."
60,false,Only 2 percent of public high schools in the country offer PE classes.
61,mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy."""
62,true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong."""
63,mostly-true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools."
64,false,"Under Mayor Cicilline, [Providence] was a sanctuary city."
65,pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.
66,true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."
67,false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts."
68,barely-true,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.
69,barely-true,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.
70,true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor."
71,barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate."
72,mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."""
73,mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.
74,mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.
75,true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent."
76,false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.
77,barely-true,Says one out of three U.S. homeless men is a veteran.
78,false,Says Charlie Crist supports cuts to the Medicare Advantage program.
79,half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.
80,true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.
81,half-true,"At some point in their lives, 99% of women use birth control."
82,false,"In the past 20 years, Egypt has made great strides in political and democratic reform."
83,false,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.
84,true,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.
85,half-true,"In Rick Perrys Texas, we import nurses ... from other countries."
86,mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.
87,mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.
88,barely-true,"Sen. McCain's tax plan provides ""virtually nothing to the middle class."""
89,false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.
90,false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world."
91,true,I belong to the AFL-CIO.
92,mostly-true,The insurance commissioner cant do squat about health care.
93,half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.
94,barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon."
95,barely-true,Says David Jolly supports privatizing Social Security.
96,true,Did you know US population growth is at its lowest since the Great Depression?
97,mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones."
98,true,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history."
99,mostly-true,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.
100,false,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.
101,pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years."
102,mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty."
103,mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism."
104,false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO."
105,true,Sen. Obama has always had a 100 percent prochoice rating.
106,half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million."
107,true,The (federal) debt is growing by more than $4 billion a day.
108,half-true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers."
109,false,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old."
110,mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.
111,half-true,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year."
112,half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody."
113,barely-true,Says Obama promised unemployment would never go above 8 percent.
114,true,The economy is creating jobs at the fastest pace since 1999.
115,mostly-true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.
116,mostly-true,"In a majority of states, you can now marry freely, but can still be fired for who you love."
117,pants-fire,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.
118,pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency."""
119,false,"About half of the presidents have been governors; half of them, senators."
120,mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s."
121,mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years."
122,true,Says 88 Texas constables have died in the line of duty.
123,mostly-true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000."
124,mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions."
125,true,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man."
126,mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.
127,false,The Air Force wants taxpayers to fund a fantasy football league.
128,pants-fire,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.
129,half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.
130,mostly-true,Some neighborhood schools are closing.
131,mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.
132,mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered."
133,barely-true,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years."
134,true,Says the U.S. Supreme Court found that Social Security is not guaranteed.
135,false,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.
136,true,Oregonians have an amazing no-cost way to fight abortion with free political donations
137,pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country."
138,barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support."
139,mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.
140,false,Mr. Caprio is a career politician who has never worked in the private sector.
141,barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent."
142,mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!"
143,mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.
144,half-true,Donald Trump has said nuclear proliferation is OK.
145,true,"Hillary Clinton has taken over $800,000 from lobbyists."
146,false,Barack Obama has never even worked in business.
147,half-true,Says the Arizona immigration law expressly bans racial profiling.
148,false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.
149,barely-true,"On the VA: Over 300,000 veterans have died waiting for care."
150,mostly-true,Were now spending 42 percent of our economy on government.
151,barely-true,Rob Cornilles supports privatizing Medicare.
152,false,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas."
153,half-true,We (Democrats) have made steady progress creating jobs and improving our schools.
154,pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.
155,true,"Whether you like to admit it or not, half our general revenue goes to education."
156,false,Im the only one whos fought against developers draining the Everglades!
157,half-true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.
158,half-true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2."
159,barely-true,Climate change is directly related to the growth of terrorism.
160,barely-true,The jobs bill includes President Obamas tax on soup kitchens
161,barely-true,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.
162,half-true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.
163,half-true,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture."
164,false,We have more illegal immigrants here than we did five years ago.
165,barely-true,Says Rick Perry wrote a letter supporting Hillarycare.
166,false,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.
167,pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage."
168,mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.
169,half-true,Says Chris Christie vetoed a jobs package of 30 bills.
170,true,There are already more American jobs in the solar industry than in coal mining.
171,half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.
172,half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.
173,mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts."
174,half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months."
175,false,Says Thomas Eric Duncan came into the United States with an elevated temperature.
176,mostly-true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.
177,half-true,Gas prices have gone up $2 since Obama took office.
178,true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.
179,true,Says judges get better benefits at a lower cost than everybody else in the state.
180,true,There are a lot of casinos across the country that have gone bankrupt.
181,true,Small businesses create 70 percent of the jobs in America.
182,half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform"
183,half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area."
184,mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.
185,false,There are more oil rigs in operation in the United States than the rest of the world combined.
186,half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest."
187,half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned."
188,mostly-true,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.
189,false,The Obama administration shut down the Amber Alert program because of the government shutdown.
190,mostly-true,The Republicans have 2 percent of the Muslim vote.
191,mostly-true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!"
192,pants-fire,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output."
193,half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015."
194,true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose."
195,mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.
196,false,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500."
197,false,Not one Republican has the guts to recognize that climate change is real.
198,half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent."
199,pants-fire,David Dewhurst has a record of promoting an income tax.
200,mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons
201,barely-true,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there."
202,false,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border."
203,barely-true,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.
204,false,Says Obama health reform law denies millions access to affordable insurance.
205,barely-true,Says HB2 hasnt moved the needle one iota on North Carolinas economy.
206,false,Close to 30% of our federal prison population consists of illegal immigrants.
207,false,Says Rick Scott called education not a core function of the state.
208,false,"The Family Research Council, according to some government agencies, is a terrorist group."
209,true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children."
210,true,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.
211,false,Obamacare is the biggest tax increase in American history.
212,true,You ... said that Barack Obama was not ready to be commander in chief.
213,mostly-true,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically."
214,barely-true,Milwaukee Mayor Tom Barrett has held the line on property taxes.
215,true,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.
216,true,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support."
217,false,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.
218,half-true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it."
219,half-true,On how money from a possible lease of the Ohio Turnpike would be used
220,mostly-true,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade."
221,half-true,"The president has had 1,540 of his nominations confirmed, only four defeated."
222,true,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.
223,barely-true,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront."
224,mostly-true,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.
225,true,"Democratic presidents ""have been considerably more effective at creating private-sector jobs."""
226,true,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."""
227,barely-true,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.
228,half-true,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.
229,half-true,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there."""
230,mostly-true,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%."
231,half-true,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans."
232,mostly-true,The Paul Ryan budget proposal would privatize Medicare.
233,mostly-true,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.
234,half-true,The United States imprisons more than any nation in the world.
235,pants-fire,Says Marco Rubio is the one for an open border.
236,mostly-true,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat."
237,barely-true,Says cuts to Medicare affect people who have already paid in. We paid for it.
238,barely-true,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.
239,true,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.
240,false,Providences port is 200 miles closer to Europe than any other Eastern port.
241,true,Says you need a photo ID to purchase Sudafed in Texas.
242,mostly-true,Twenty percent of housing in Portlands Pearl District is affordable.
243,mostly-true,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012."
244,half-true,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.
245,half-true,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.
246,true,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent."
247,barely-true,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.
248,false,We now have driven (health care) costs down to the lowest theyve been in 50 years.
249,half-true,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist."""
250,half-true,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes."
251,mostly-true,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent."""
252,mostly-true,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough."
253,barely-true,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.
254,false,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.
255,half-true,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.
256,true,Warren (Buffett) still does support me.
257,true,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.
258,false,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!
259,mostly-true,"About 230,000 people that were on unemployment when I took office are not on unemployment now."
260,barely-true,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die."
261,pants-fire,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.
262,false,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.
263,true,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years."
264,pants-fire,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.
265,barely-true,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations."""
266,false,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises."
267,half-true,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014."
268,mostly-true,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent."
269,half-true,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.
270,half-true,On legalizing illegal immigrants.
271,true,Nearly half of all pregnancies in the U.S. are unintended.
272,half-true,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt."""
273,half-true,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy."
274,half-true,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs."
275,false,The top 1 percent pay over half of the entire revenue for this country.
276,barely-true,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.
277,half-true,Chris Christie has not increased the taxes on anyone.
278,barely-true,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.
279,false,Says he never said he would keep education funding the same.
280,true,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation."
281,half-true,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare."
282,mostly-true,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget."
283,false,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.
284,barely-true,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.
285,barely-true,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.
286,half-true,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed."
287,mostly-true,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.
288,false,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies."
289,false,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs."
290,pants-fire,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!
291,true,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.
292,mostly-true,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs."
293,barely-true,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.
294,barely-true,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs."
295,barely-true,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer."""
296,pants-fire,Texas this fiscal year will have more money in reserve than the other 49 states combined.
297,false,On using the Strategic Petroleum Reserve.
298,mostly-true,Immigrants are more fertile.
299,mostly-true,"The proposed education changes ""will not cut one teacher's pay."""
300,pants-fire,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.
301,mostly-true,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.
302,false,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.
303,pants-fire,We spend less on defense today as % of GDP than at any time since Pearl Harbor.
304,mostly-true,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.
305,half-true,"Says Scott Walker wants to ban common forms of birth control, including the pill."
306,false,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.
307,half-true,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis."
308,half-true,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq."
309,true,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.
310,true,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital."
311,barely-true,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.
312,barely-true,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.
313,half-true,There are mechanisms in place to shut down the Internet privately.
314,barely-true,The American people support defunding Obamacare and oppose shutting down the government.
315,half-true,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.
316,true,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun."
317,pants-fire,The people of Rhode Island dont want same-sex marriage.
318,half-true,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit."
319,barely-true,This year in Congress (Connie Mack IV) has missed almost half of his votes.
320,barely-true,"1/3 of our kids drop out (of high school), cannot go to college or start a career."
321,barely-true,Not even old Gen. Eisenhower saluted military personnel as president.
322,true,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts."
323,barely-true,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun."
324,false,74 percent of Republicans support the Affordable Care Act.
325,half-true,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line."
326,half-true,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default."
327,false,Says Alex Sink failed Florida homeowners by using predatory lending practices.
328,barely-true,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.
329,barely-true,You cant check out a library book without a photo ID.
330,pants-fire,Says that Starbucks took Christmas off of their brand new cups.
331,mostly-true,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.
